FIELD,WELL,DATE,RESERVOIR_SAND,Measurement_TYPE,GAUGE _DEPTH_MDRKB_ft,GAUGE_DEPTH_TVDSS_ft,Borehole_FluidDensity_psi/ft,Datum_DEPTH_TVDSS_ft,Resv_FluidDensity_psi/ft,Corr_TO_DATUM_psi,Pressure_Gauge_SI_BHP_psig,PressureDatum_SI_BHP_psig
IPMC,IZ-17SS,30093,AA-3,static,5499.93312,5314.928808,0.27793942,5400.1968,0.278,23.69933624,2289.42,2313.119336
IPMC,IZ-17SS,30334,AA-3,static,5493.37152,5308.367208,0.27793942,5400.1968,0.278,25.52306354,2241.072,2266.595064
IPMC,IZ-17SS,30751,AA-3,static,5499.93312,5314.928808,0.2639406,5400.1968,0.264,22.50568497,2165.706,2188.211685
IPMC,IZ-17SS,30925,AA-3,static,5499.93312,5314.928808,0.26004,5400.1968,0.26,22.17308864,2144.376,2166.549089
IPMC,IZ-17SS,31140,AA-3,static,5499.93312,5314.928808,0.1521234,5400.1968,0.152,12.97125685,2110.248,2123.219257
IPMC,IZ-17SS,31348,AA-3,static,5499.93312,5314.928808,0.26004,5400.1968,0.26,22.17308864,2094.8904,2117.063489
IPMC,IZ-17SS,31556,AA-3,static,4999.709544,4814.705232,0.186362,5400.1968,0.186,109.1133796,1895.3838,2004.49718
IPMC,IZ-17SS,31741,AA-3,static,5499.670656,5314.666344,0.333718,5400.1968,0.334,28.54305272,2053.5102,2082.053253
IPMC,IZ-17SS,31947,AA-3,static,5459.677704,5274.673392,0.420398,5400.1968,0.42,52.76978968,2026.4922,2079.26199
IPMC,IZ-17SS,32123,AA-3,static,5459.677704,5274.673392,0.355388,5400.1968,0.355,44.60951292,2010.5658,2055.175313
IPMC,IZ-17SS,32284,AA-3,static,5459.677704,5274.673392,0.424732,5400.1968,0.425,53.31380813,2011.5612,2064.875008
IPMC,IZ-17SS,34130,AA-3,static,5199.674304,5015.68704,0.033800433,5400.1968,0.034,12.99659623,1935.6264,1948.622996
IPMC,IZ-17SS,36456,AA-3,static,5453,5269,0.429,5400,0.434,56.199,1669.23,1725.429
IPMC,IZ-17SS,36679,AA-3,static,5460,5276,0.343,5400,0.434,42.532,1712.94,1755.472
IPMC,IZ-17SS,37439,AA-3,static,5370,5186,0.421,5401,0.434,90.515,1639.4,1729.915
IPMC,IZ-17SS,39942,AA-3,static,5422,5214,0.427,5400,0.43,79.422,1671,1750.422
IPMC,IZ-17SS,40302,AA-3,static,5422,5214,0.432,5400,0.43,80.352,1646,1726.352
IPMC,IZ-17SS,40711,AA-3,static,5422,5214,0.42,5400,0.42,78.12,1664.56,1728
IPMC,IZ-17SS,41031,AA-3,static,5422,5214,0.429,5400,0.42,79.794,1672,1746
IPMC,IZ-17SS,41353,AA-3,static,5422,5214,0.438,5400,0.42,81.468,1688,1735.8
IPMC,IZ-15RS,41355,AA-3,static,5471,5264,0.442,5400,0.82,60.112,2247,
