FIELD,WELL,DATE,RESERVOIR_SAND,Measurement_TYPE,GAUGE _DEPTH_MDRKB_ft,GAUGE_DEPTH_TVDSS_ft,Borehole_FluidDensity_psi/ft,Resv_FluidDensity_psi/ft,Corr_TO_DATUM_psi,Pressure_Gauge_SI_BHP_psig,PressureDatum_SI_BHP_psig
IPMC,IZ-17SS,21/05/1982,AA-3,static,6549.8,6364.8,0.091,0.09,-5.9,2660.6,2654.7
IPMC,IZ-17SS,18/01/1983,AA-3,static,6399.9,6214.9,0.091,0.09,7.7,2573.8,2581.6
IPMC,IZ-17SS,10/08/1983,AA-3,static,6399.9,6214.9,0.066,0.07,5.6,2579.5,2585.1
IPMC,IZ-17SS,25/02/1984,AA-3,static,6399.9,6214.9,0.062,0.06,5.3,2525.5,2530.7
IPMC,IZ-17SS,31/08/1984,AA-3,static,5499.9,5314.9,0.063,0.06,62,2433,2495.1
IPMC,IZ-17SS,03/04/1985,AA-3,static,5509.8,5314.9,0.06,0.06,58.9,2384.6,2443.5
IPMC,IZ-17SS,28/10/1985,AA-3,static,6484.2,6299.0,0.061,0.06,0.1,2351.4,2351.5
IPMC,IZ-17SS,26/05/1986,AA-3,static,5499.9,5314.9,0.061,0.06,59.8,2269.1,2328.9
IPMC,IZ-17SS,25/11/1986,AA-3,static,5499.7,5314.7,0.065,0.07,64.1,2272.5,2336.6
IPMC,IZ-17SS,24/06/1987,AA-3,static,5501.7,5317.0,0.277,0.28,272.7,2043.6,2316.2
IPMC,IZ-17SS,12/12/1987,AA-3,static,6484.2,6299.0,0.065,0.07,0.1,2214.2,2214.3
IPMC,IZ-17SS,21/05/1988,AA-3,static,5499.9,5314.7,0.056,0.06,55.5,2115.1,2170.6
IPMC,IZ-17SS,27/05/1989,AA-3,static,6499.9,6314.9,0.303,0.3,-4.5,2183.6,2179.1
IPMC,IZ-17SS,25/04/1990,AA-3,static,6499.9,6314.6,0.056,0.06,-0.8,2111.7,2110.9
IPMC,IZ-17SS,08/06/1991,AA-3,static,6538.6,6353.6,0.046,0.05,-2.5,2061.6,2059.2
IPMC,IZ-17SS,11/06/1993,AA-3,static,6499.6,6315.0,0.273,0.27,-4.1,1929.7,1925.6
IPMC,IZ-17SS,24/10/1999,AA-3,static,6500.0,6315.0,0.308,0.31,-4.6,1686,1681.4
IPMC,IZ-17SS,02/06/2000,AA-3,static,6000.0,5815.0,0.309,0.31,149.9,1547,1696.9
IPMC,IZ-17SS,31/08/2001,AA-3,static,6358.0,6173.0,0.16,0.16,20.3,1652.4,1672.7
IPMC,IZ-17SS,26/04/2009,AA-3,static,6500.0,6292.0,0.426,0.43,3.4,1659,1662.4
IPMC,IZ-17SS,24/03/2010,AA-3,static,6500.0,6292.0,0.425,0.43,3.4,1661,1664.4
IPMC,IZ-17SS,22/05/1982,AA-3,static,5499.9,5314.9,0.278,0.28,23.7,2289.4,2313.1
IPMC,IZ-17SS,18/01/1983,AA-3,static,5493.4,5308.4,0.278,0.28,25.5,2241.1,2266.6
IPMC,IZ-17SS,10/03/1984,AA-3,static,5499.9,5314.9,0.264,0.26,22.5,2165.7,2188.2
IPMC,IZ-17SS,31/08/1984,AA-3,static,5499.9,5314.9,0.26,0.26,22.2,2144.4,2166.5
IPMC,IZ-17SS,03/04/1985,AA-3,static,5499.9,5314.9,0.152,0.15,13,2110.2,2123.2
IPMC,IZ-17SS,28/10/1985,AA-3,static,5499.9,5314.9,0.26,0.26,22.2,2094.9,2117.1
IPMC,IZ-17SS,24/05/1986,AA-3,static,4999.7,4814.7,0.186,0.19,109.1,1895.4,2004.5
IPMC,IZ-17SS,25/11/1986,AA-3,static,5499.7,5314.7,0.334,0.33,28.5,2053.5,2082.1
IPMC,IZ-17SS,19/06/1987,AA-3,static,5459.7,5274.7,0.42,0.42,52.8,2026.5,2079.3
IPMC,IZ-17SS,12/12/1987,AA-3,static,5459.7,5274.7,0.355,0.36,44.6,2010.6,2055.2
IPMC,IZ-17SS,21/05/1988,AA-3,static,5459.7,5274.7,0.425,0.43,53.3,2011.6,2064.9
IPMC,IZ-17SS,02/05/1992,AA-3,static,5442.7,5258.7,0.369,0.37,52.2,1968,2020.3
IPMC,IZ-17SS,10/06/1993,AA-3,static,5199.7,5015.7,0.034,0.03,13,1935.6,1948.6
IPMC,IZ-17SS,23/10/1999,AA-3,static,5453.0,5269.0,0.429,0.43,56.2,1669.2,1725.4
IPMC,IZ-17SS,02/06/2000,AA-3,static,5460.0,5276.0,0.343,0.43,42.5,1712.9,1755.5
IPMC,IZ-17SS,02/07/2002,AA-3,static,5370.0,5186.0,0.421,0.43,90.5,1639.4,1729.9
IPMC,IZ-17SS,09/05/2009,AA-3,static,5422.0,5214.0,0.427,0.43,79.4,1671,1750.4
IPMC,IZ-17SS,04/05/2010,AA-3,static,5422.0,5214.0,0.432,0.43,80.4,1646,1726.4
IPMC,IZ-17SS,17/06/2011,AA-3,static,5422.0,5214.0,0.42,0.42,78.1,1664.6,1728
IPMC,IZ-17SS,02/05/2012,AA-3,static,5422.0,5214.0,0.429,0.42,79.8,1672,1746
IPMC,IZ-17SS,20/03/2013,AA-3,static,5422.0,5214.0,0.438,0.42,81.5,1688,1735.8
